,Predictions
L1,C6
L2,C6
L3,C6
L4,C12
L5,C2
L6,C6
L7,C2
L8,C4
L9,C6
L10,C10
L11,C6
L12,C6
L13,C10
L14,C2
L15,C10
L16,C6
L17,C10
L18,C2
L19,C10
L20,C6
L21,C2
L22,C5
L23,C10
L24,C10
L25,C6
L26,C2
L27,C10
L28,C6
L29,C2
L30,C2
L31,C6
L32,C10
L33,C10
L34,C2
L35,C10
L36,C6
L37,C10
L38,C2
L39,C6
L40,C2
L41,C5
L42,C10
L43,C8
L44,C6
L45,C10
L46,C10
L47,C12
L48,C2
L49,C6
L50,C1
L51,C6
L52,C2
L53,C2
L54,C6
L55,C7
L56,C6
L57,C6
L58,C6
L59,C10
L60,C10
L61,C6
L62,C7
L63,C10
L64,C2
L65,C2
L66,C2
L67,C10
L68,C10
L69,C11
L70,C2
L71,C8
L72,C2
L73,C10
L74,C6
L75,C2
L76,C11
L77,C10
L78,C10
L79,C10
L80,C6
L81,C10
L82,C2
L83,C10
L84,C6
L85,C10
L86,C6
L87,C10
L88,C6
L89,C2
L90,C10
L91,C6
L92,C2
L93,C7
L94,C10
L95,C6
L96,C2
L97,C10
L98,C2
L99,C6
L100,C2
L101,C6
L102,C6
L103,C11
L104,C6
L105,C6
L106,C6
L107,C2
L108,C2
L109,C10
L110,C10
L111,C10
L112,C10
L113,C5
L114,C10
L115,C6
L116,C2
L117,C2
L118,C10
L119,C6
L120,C2
L121,C6
L122,C10
L123,C6
L124,C2
L125,C10
L126,C10
L127,C6
L128,C10
L129,C5
L130,C2
L131,C10
L132,C7
L133,C10
L134,C10
L135,C10
L136,C8
L137,C10
L138,C2
L139,C11
L140,C10
L141,C10
L142,C6
L143,C6
L144,C10
L145,C6
L146,C10
L147,C2
L148,C2
L149,C2
L150,C6
L151,C6
L152,C6
L153,C6
L154,C10
L155,C10
L156,C10
L157,C5
L158,C10
L159,C2
L160,C2
L161,C10
L162,C2
L163,C10
L164,C2
L165,C6
L166,C6
L167,C6
L168,C2
L169,C1
L170,C11
L171,C2
L172,C2
L173,C2
L174,C2
L175,C10
L176,C10
L177,C4
L178,C10
L179,C2
L180,C2
L181,C6
L182,C6
L183,C10
L184,C6
L185,C6
L186,C2
L187,C7
L188,C6
L189,C6
L190,C1
L191,C2
L192,C6
L193,C6
L194,C10
L195,C6
L196,C2
L197,C2
L198,C5
L199,C6
L200,C2
L201,C6
L202,C6
L203,C2
L204,C6
L205,C7
L206,C2
L207,C6
L208,C6
L209,C6
L210,C2
L211,C6
L212,C6
L213,C10
L214,C10
L215,C2
L216,C2
L217,C2
L218,C6
L219,C10
L220,C2
L221,C2
L222,C6
L223,C10
L224,C2
L225,C2
L226,C6
L227,C2
L228,C6
L229,C10
L230,C6
L231,C6
L232,C6
L233,C2
L234,C10
L235,C2
L236,C2
L237,C6
L238,C6
L239,C6
L240,C10
L241,C6
L242,C2
L243,C8
L244,C10
L245,C2
L246,C6
L247,C2
L248,C10
L249,C8
L250,C2
L251,C6
L252,C2
L253,C10
L254,C2
L255,C2
L256,C10
L257,C10
L258,C6
L259,C2
L260,C10
L261,C6
L262,C10
L263,C10
L264,C7
L265,C2
L266,C2
L267,C6
L268,C2
L269,C6
L270,C6
L271,C10
L272,C2
L273,C2
L274,C2
L275,C10
L276,C6
L277,C2
L278,C12
L279,C2
L280,C6
L281,C5
L282,C6
L283,C2
L284,C2
L285,C2
L286,C2
L287,C6
L288,C10
L289,C6
L290,C2
L291,C2
L292,C6
L293,C2
L294,C6
L295,C2
L296,C2
L297,C2
L298,C2
L299,C2
L300,C2
L301,C5
L302,C8
L303,C10
L304,C10
L305,C6
L306,C1
L307,C10
L308,C2
L309,C2
L310,C6
L311,C6
L312,C2
L313,C6
L314,C2
L315,C10
L316,C6
L317,C6
L318,C2
L319,C2
L320,C3
L321,C2
L322,C2
L323,C2
L324,C10
L325,C2
L326,C6
L327,C10
L328,C7
L329,C10
L330,C6
L331,C2
L332,C6
L333,C2
L334,C10
L335,C6
L336,C6
L337,C10
L338,C10
L339,C10
L340,C6
L341,C6
L342,C2
L343,C6
L344,C2
L345,C10
L346,C10
L347,C7
L348,C10
L349,C2
L350,C10
L351,C2
L352,C7
L353,C6
L354,C6
L355,C6
L356,C10
L357,C10
L358,C6
L359,C5
L360,C1
L361,C10
L362,C2
L363,C2
L364,C5
L365,C7
L366,C10
L367,C6
L368,C2
L369,C10
L370,C6
L371,C2
L372,C10
L373,C2
L374,C2
L375,C10
L376,C2
L377,C10
L378,C10
L379,C2
L380,C12
L381,C2
L382,C1
L383,C2
L384,C1
L385,C6
L386,C2
L387,C2
L388,C10
L389,C6
L390,C6
L391,C6
L392,C2
L393,C6
L394,C2
L395,C12
L396,C10
L397,C2
L398,C6
L399,C6
L400,C10
L401,C10
L402,C10
L403,C6
L404,C12
L405,C10
L406,C10
L407,C10
L408,C6
L409,C6
L410,C6
L411,C6
L412,C8
L413,C2
L414,C2
L415,C10
